序号,时间,敌人,距离(m),扣血,结果,算法,区间(m),水平,上预判,下预判,弹速,实测弹速,命中耗时(s),枪灵,抑制%,预测坐标,抑制坐标,实际坐标,偏差(3D/水平/垂直),水平沿向偏差,垂直方向
1,13:42:55,StekIo,30.0,-60,命中,GM自研,30-40,5.3,5.6,5.8,465,303.4,0.099,否,100%,"(497.3,248.5,418.8)","(497.3,248.5,418.8)","(496.2,248.5,418.0)",1.4/1.4/0.0,-1.4,平
2,13:42:56,StekIo,31.2,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(503.5,248.5,432.6)","(503.5,248.5,432.6)","(53.2,-249.3,-100.7)",857.3/698.0/-497.8,-644.0,平
3,13:43:25,StekIo,26.0,-10,命中,GM自研,20-30,5.1,5.5,5.7,470,591.6,0.044,否,100%,"(486.1,248.5,482.7)","(486.1,248.5,482.7)","(485.2,248.5,483.4)",1.1/1.1/0.0,-1.1,平
4,13:43:48,StekIo,43.0,-60,命中,GM自研,40-50,5.4,5.7,5.9,460,356.0,0.121,否,100%,"(469.0,248.5,388.8)","(469.0,248.5,388.8)","(468.0,248.5,388.6)",1.0/1.0/0.0,-1.0,平
5,13:43:49,StekIo,43.8,脱靶,脱靶,GM自研,40-50,5.4,5.7,5.9,460,0.0,0.000,否,100%,"(479.8,248.5,395.4)","(479.8,248.5,395.4)","(56.2,-217.2,-106.1)",804.9/656.5/-465.7,-631.7,平
6,13:44:35,StekIo,45.2,-30,命中,GM自研,40-50,5.4,5.7,5.9,460,515.9,0.088,否,100%,"(447.9,248.5,521.9)","(447.9,248.5,521.9)","(447.6,248.5,520.9)",1.1/1.1/0.0,-1.1,平
7,13:44:36,StekIo,46.3,脱靶,脱靶,GM自研,40-50,5.4,5.7,5.9,460,0.0,0.000,否,100%,"(458.7,248.5,537.5)","(458.7,248.5,537.5)","(55.5,-186.1,-90.1)",863.4/746.0/-434.6,-735.0,平
8,13:44:58,StekIo,13.1,-20,命中,GM自研,10-20,4.9,5.3,5.6,475,18.9,0.696,否,100%,"(356.1,248.5,450.1)","(356.1,248.5,450.1)","(361.4,248.5,460.2)",11.4/11.4/0.0,9.1,平
9,13:44:59,StekIo,17.5,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(356.7,248.5,473.7)","(356.7,248.5,473.7)","(50.9,-233.2,-103.1)",811.4/652.9/-481.7,-265.0,平
10,13:45:50,StekIo,21.8,-30,命中,GM自研,20-30,5.1,5.5,5.7,470,493.5,0.044,否,100%,"(420.2,248.5,485.5)","(420.2,248.5,485.5)","(420.2,248.5,485.6)",0.1/0.1/0.0,-0.1,平
11,13:45:50,StekIo,23.2,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(429.8,248.5,478.3)","(429.8,248.5,478.3)","(56.5,-183.8,-104.8)",816.3/692.4/-432.4,-39.2,平
12,13:46:09,StekIo,11.7,-20,命中,GM自研,10-20,4.9,5.3,5.6,475,15.8,0.742,否,100%,"(292.7,248.5,529.6)","(292.7,248.5,529.6)","(285.8,248.5,519.1)",12.6/12.6/0.0,7.7,平
13,13:46:10,StekIo,14.7,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(290.7,248.5,507.1)","(290.7,248.5,507.1)","(55.7,-237.9,-103.4)",815.2/654.2/-486.4,427.8,平
14,13:46:29,StekIo,20.2,-50,命中,GM自研,20-30,5.1,5.5,5.7,470,368.3,0.055,否,100%,"(470.9,248.5,345.6)","(470.9,248.5,345.6)","(471.3,248.5,345.5)",0.4/0.4/0.0,-0.4,平
15,13:46:29,StekIo,21.7,-10,命中,GM自研,20-30,5.1,5.5,5.7,470,398.4,0.054,否,100%,"(461.2,244.8,343.8)","(461.2,244.8,343.8)","(461.1,248.5,343.7)",3.8/0.1/3.8,0.1,下降
16,13:46:30,StekIo,21.6,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(460.2,248.5,343.2)","(460.2,248.5,343.2)","(56.9,-264.1,-98.8)",787.9/598.3/-512.6,0.0,平
17,13:47:04,StekIo,32.3,-20,命中,GM自研,30-40,5.3,5.6,5.8,465,329.5,0.098,否,100%,"(496.9,248.5,346.2)","(496.9,248.5,346.2)","(497.1,248.5,345.7)",0.5/0.5/0.0,-0.5,平
18,13:47:05,StekIo,30.7,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(487.4,248.5,352.1)","(487.4,248.5,352.1)","(53.1,-172.6,-108.5)",760.3/633.0/-421.1,48.4,平
19,13:47:22,StekIo,34.6,-40,命中,GM自研,30-40,5.3,5.6,5.8,465,319.2,0.108,否,100%,"(465.5,248.5,312.7)","(465.5,248.5,312.7)","(466.1,248.5,312.7)",0.6/0.6/0.0,-0.6,平
20,13:47:22,StekIo,35.6,-10,命中,GM自研,30-40,5.3,5.6,5.8,465,647.9,0.055,否,100%,"(453.1,248.5,319.2)","(453.1,248.5,319.2)","(455.3,248.5,317.8)",2.6/2.6/0.0,-2.6,平
21,13:47:23,StekIo,36.3,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(445.8,248.5,327.5)","(445.8,248.5,327.5)","(57.9,-202.9,-90.4)",727.3/570.2/-451.5,-93.5,平
22,13:47:50,StekIo,38.1,-80,命中,GM自研,30-40,5.3,5.6,5.8,465,356.8,0.107,否,100%,"(461.8,248.5,424.2)","(461.8,248.5,424.2)","(462.5,248.5,424.3)",0.7/0.7/0.0,-0.7,平
23,13:47:50,StekIo,38.9,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(450.6,248.5,419.8)","(450.6,248.5,419.8)","(54.7,-177.8,-105.9)",784.1/658.1/-426.3,586.6,平
24,13:48:55,StekIo,13.7,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(470.2,248.5,491.0)","(470.2,248.5,491.0)","(51.4,-250.8,-104.7)",883.0/728.2/-499.4,698.2,平
25,13:49:31,StekIo,92.6,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(461.1,248.5,386.5)","(461.1,248.5,386.5)","(61.4,-179.4,-88.4)",753.9/620.7/-427.9,-162.1,平
26,13:49:49,StekIo,53.0,-50,命中,GM自研,50-60,5.6,5.8,6.0,455,612.9,0.086,否,100%,"(514.1,248.5,566.9)","(514.1,248.5,566.9)","(516.2,248.5,565.2)",2.7/2.7/0.0,-2.3,平
27,13:49:50,StekIo,49.4,-20,命中,GM自研,40-50,5.4,5.7,5.9,460,453.2,0.109,否,100%,"(503.6,248.5,563.5)","(503.6,248.5,563.5)","(505.1,248.5,562.9)",1.6/1.6/0.0,-1.2,平
28,13:49:54,StekIo,64.7,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(466.0,248.5,489.1)","(466.0,248.5,489.1)","(59.6,-196.9,-108.4)",848.9/722.6/-445.4,460.1,平
29,13:50:18,StekIo,52.6,-20,命中,GM自研,50-60,5.6,5.8,6.0,455,536.1,0.098,否,100%,"(440.1,248.5,509.6)","(440.1,248.5,509.6)","(438.3,248.5,508.4)",2.1/2.1/0.0,-2.1,平
30,13:50:19,StekIo,42.9,-50,命中,GM自研,40-50,5.4,5.7,5.9,460,397.6,0.108,否,100%,"(452.9,248.5,514.5)","(452.9,248.5,514.5)","(452.1,248.5,514.3)",0.9/0.9/0.0,-0.9,平
31,13:50:20,StekIo,32.8,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(467.3,248.5,516.4)","(467.3,248.5,516.4)","(61.5,-200.0,-91.7)",857.7/731.1/-448.5,-429.5,平
32,13:50:38,StekIo,35.9,-20,命中,GM自研,30-40,5.3,5.6,5.8,465,328.2,0.109,否,100%,"(588.2,248.5,427.0)","(588.2,248.5,427.0)","(585.6,248.5,426.9)",2.6/2.6/0.0,-1.9,平
33,13:50:39,StekIo,28.2,-40,命中,GM自研,20-30,5.1,5.5,5.7,470,861.2,0.033,否,100%,"(574.4,248.5,434.5)","(574.4,248.5,434.5)","(576.4,248.5,433.4)",2.2/2.2/0.0,-2.2,平
34,13:50:39,StekIo,886.1,脱靶,脱靶,GM自研,290-300,1.2,1.9,2.0,300,0.0,0.000,否,100%,"(286.5,-305.7,-247.4)","(286.5,-305.7,-247.4)","(58.9,-225.1,-104.2)",280.8/268.9/80.6,0.0,平
35,13:50:52,StekIo,86.3,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,419.0,0.206,否,100%,"(402.7,248.5,350.8)","(402.7,248.5,350.8)","(402.7,248.5,349.5)",1.3/1.3/0.0,-1.3,平
36,13:50:52,StekIo,84.2,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,427.9,0.197,否,100%,"(397.6,248.5,358.7)","(397.6,248.5,358.7)","(400.2,248.5,359.2)",2.6/2.6/0.0,-0.4,平
37,13:50:53,StekIo,72.6,脱靶,脱靶,GM自研,70-80,5.8,6.1,6.3,445,0.0,0.000,否,100%,"(405.5,248.5,374.5)","(405.5,248.5,374.5)","(60.2,-206.0,-92.6)",737.6/580.9/-454.5,-560.3,平
38,13:51:09,StekIo,23.0,-50,命中,GM自研,20-30,5.1,5.5,5.7,470,535.0,0.043,否,100%,"(522.2,248.5,417.7)","(522.2,248.5,417.7)","(522.4,248.5,417.1)",0.6/0.6/0.0,-0.6,平
39,13:51:10,StekIo,22.5,脱靶,脱靶,GM自研,20-30,5.1,5.5,5.7,470,0.0,0.000,否,100%,"(510.6,248.5,415.9)","(510.6,248.5,415.9)","(53.7,-177.2,-109.6)",816.1/696.3/-425.7,688.7,平
40,13:51:27,StekIo,123.9,脱靶,脱靶,GM自研,120-130,5.4,5.3,5.5,420,0.0,0.000,否,100%,"(368.3,248.5,392.6)","(368.3,248.5,392.6)","(372.2,248.5,404.3)",12.3/12.3/0.0,12.3,平
41,13:51:28,StekIo,105.3,-30,命中,GM自研,100-110,5.8,5.8,6.0,430,444.6,0.237,否,100%,"(377.3,248.5,416.7)","(377.3,248.5,416.7)","(376.8,248.5,415.3)",1.5/1.5/0.0,-1.5,平
42,13:51:29,StekIo,96.8,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(383.0,248.5,427.2)","(383.0,248.5,427.2)","(391.6,248.5,440.0)",15.4/15.4/0.0,15.3,平
43,13:51:30,StekIo,76.8,-20,命中,GM自研,70-80,5.8,6.1,6.3,445,414.0,0.186,否,100%,"(399.7,248.5,449.5)","(399.7,248.5,449.5)","(398.9,248.5,448.4)",1.3/1.3/0.0,-1.3,平
44,13:51:31,StekIo,66.4,-10,命中,GM自研,60-70,5.8,6.0,6.2,450,465.5,0.143,否,100%,"(410.6,248.5,459.1)","(410.6,248.5,459.1)","(410.3,248.5,458.9)",0.4/0.4/0.0,-0.4,平
45,13:51:32,StekIo,56.1,-20,命中,GM自研,50-60,5.6,5.8,6.0,455,534.3,0.105,否,100%,"(422.9,248.5,466.9)","(422.9,248.5,466.9)","(421.6,248.5,466.2)",1.5/1.5/0.0,-1.5,平
46,13:51:43,StekIo,64.0,-10,命中,GM自研,60-70,5.8,6.0,6.2,450,389.0,0.165,否,100%,"(591.8,248.5,548.6)","(591.8,248.5,548.6)","(592.5,248.5,547.1)",1.6/1.6/0.0,-1.5,平
47,13:51:43,StekIo,57.3,-30,命中,GM自研,50-60,5.6,5.8,6.0,455,353.8,0.162,否,100%,"(580.4,248.5,544.1)","(580.4,248.5,544.1)","(581.3,248.5,544.3)",1.0/1.0/0.0,-1.0,平
48,13:51:44,StekIo,55.0,脱靶,脱靶,GM自研,50-60,5.6,5.8,6.0,455,0.0,0.000,否,100%,"(576.5,248.6,545.8)","(576.5,248.6,545.8)","(54.8,-267.8,-101.4)",978.6/831.3/-516.3,246.6,平
49,13:51:57,StekIo,62.5,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(568.3,248.5,601.3)","(568.3,248.5,601.3)","(561.3,248.5,587.2)",15.7/15.7/0.0,15.5,平
50,13:51:58,StekIo,46.8,-20,命中,GM自研,40-50,5.4,5.7,5.9,460,444.2,0.105,否,100%,"(557.7,248.5,581.8)","(557.7,248.5,581.8)","(558.7,248.5,583.5)",2.0/2.0/0.0,-2.0,平
51,13:51:59,StekIo,36.3,-30,命中,GM自研,30-40,5.3,5.6,5.8,465,418.0,0.087,否,100%,"(548.1,248.5,569.9)","(548.1,248.5,569.9)","(548.7,248.5,570.4)",0.7/0.7/0.0,-0.6,平
52,13:52:00,StekIo,33.8,-30,命中,GM自研,30-40,5.3,5.6,5.8,465,624.3,0.054,否,100%,"(540.0,248.5,560.1)","(540.0,248.5,560.1)","(541.4,248.5,560.6)",1.5/1.5/0.0,-1.5,平
53,13:52:00,StekIo,32.0,脱靶,脱靶,GM自研,30-40,5.3,5.6,5.8,465,0.0,0.000,否,100%,"(532.5,248.5,552.1)","(532.5,248.5,552.1)","(514.6,248.5,556.8)",18.5/18.5/0.0,8.8,平
54,13:52:02,StekIo,19.6,脱靶,脱靶,GM自研,10-20,4.9,5.3,5.6,475,0.0,0.000,否,100%,"(495.8,248.5,565.7)","(495.8,248.5,565.7)","(53.6,-199.1,-91.0)",909.5/791.7/-447.6,-168.0,平
55,13:52:36,StekIo,271.2,脱靶,脱靶,GM自研,270-280,1.5,2.2,2.3,324,0.0,0.000,否,100%,"(371.9,248.5,601.6)","(371.9,248.5,601.6)","(371.9,248.5,597.8)",3.8/3.8/-0.0,3.7,平
56,13:52:37,StekIo,250.5,脱靶,脱靶,GM自研,250-260,1.9,2.5,2.7,348,0.0,0.000,否,100%,"(368.5,248.5,574.9)","(368.5,248.5,574.9)","(368.1,248.5,568.0)",6.9/6.9/-0.0,6.9,平
57,13:52:38,StekIo,234.3,脱靶,脱靶,GM自研,230-240,2.2,2.7,2.9,365,0.0,0.000,否,100%,"(380.2,240.0,574.7)","(380.2,240.0,574.7)","(367.7,248.5,562.2)",19.6/17.7/8.5,13.4,下降
58,13:52:40,StekIo,217.3,脱靶,脱靶,GM自研,210-220,2.5,2.8,3.0,375,0.0,0.000,否,100%,"(366.6,248.5,548.9)","(366.6,248.5,548.9)","(367.1,248.5,542.2)",6.7/6.7/0.0,6.6,平
59,13:52:42,StekIo,179.9,-10,命中,GM自研,170-180,4.5,3.8,4.1,395,394.8,0.456,否,100%,"(368.5,248.5,512.9)","(368.5,248.5,512.9)","(368.7,248.5,514.6)",1.7/1.7/0.0,-1.7,平
60,13:52:43,StekIo,172.0,脱靶,脱靶,GM自研,170-180,4.5,3.8,4.1,395,0.0,0.000,否,100%,"(370.2,248.5,502.4)","(370.2,248.5,502.4)","(372.8,248.5,490.9)",11.8/11.8/0.0,11.8,平
61,13:52:44,StekIo,135.3,-20,命中,GM自研,130-140,5.2,5.0,5.2,415,390.4,0.347,否,100%,"(376.9,248.5,476.3)","(376.9,248.5,476.3)","(377.1,248.5,476.2)",0.2/0.2/0.0,0.2,平
62,13:52:45,StekIo,126.3,脱靶,脱靶,GM自研,120-130,5.4,5.3,5.5,420,0.0,0.000,否,100%,"(381.3,248.5,464.6)","(381.3,248.5,464.6)","(387.6,248.5,452.1)",14.0/14.0/0.0,13.9,平
63,13:52:46,StekIo,91.2,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,494.2,0.185,否,100%,"(393.5,248.5,442.4)","(393.5,248.5,442.4)","(392.8,248.5,443.4)",1.2/1.2/0.0,-1.2,平
64,13:53:21,StekIo,57.5,脱靶,脱靶,GM自研,50-60,5.6,5.8,6.0,455,0.0,0.000,否,100%,"(508.3,248.5,454.3)","(508.3,248.5,454.3)","(497.4,248.5,444.3)",14.8/14.8/0.0,11.4,平
65,13:53:23,StekIo,63.0,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(495.7,248.5,446.1)","(495.7,248.5,446.1)","(491.6,248.5,445.6)",4.1/4.1/0.0,3.5,平
66,13:53:24,StekIo,61.7,-50,命中,GM自研,60-70,5.8,6.0,6.2,450,379.6,0.163,否,100%,"(487.7,248.5,444.7)","(487.7,248.5,444.7)","(487.9,248.5,444.8)",0.2/0.2/0.0,-0.1,平
67,13:53:26,StekIo,60.0,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(467.4,248.5,445.9)","(467.4,248.5,445.9)","(452.0,248.5,449.8)",15.9/15.9/0.0,15.6,平
68,13:53:28,StekIo,76.6,-30,命中,GM自研,70-80,5.8,6.1,6.3,445,84.8,0.903,否,100%,"(432.7,248.5,466.6)","(432.7,248.5,466.6)","(425.7,248.5,478.1)",13.4/13.4/0.0,13.2,平
69,13:53:44,StekIo,60.8,-10,命中,GM自研,60-70,5.8,6.0,6.2,450,400.5,0.152,否,100%,"(434.0,248.5,626.9)","(434.0,248.5,626.9)","(434.5,248.5,628.6)",1.8/1.8/0.0,-1.8,平
70,13:53:44,StekIo,52.6,-30,命中,GM自研,50-60,5.6,5.8,6.0,455,369.1,0.143,否,100%,"(433.6,248.5,615.4)","(433.6,248.5,615.4)","(433.7,248.5,615.7)",0.3/0.3/0.0,-0.3,平
71,13:53:49,StekIo,54.2,-30,命中,GM自研,50-60,5.6,5.8,6.0,455,388.3,0.140,否,100%,"(450.0,248.5,572.2)","(450.0,248.5,572.2)","(449.5,248.5,572.8)",0.8/0.8/0.0,-0.8,平
72,13:53:49,StekIo,46.6,脱靶,脱靶,GM自研,40-50,5.4,5.7,5.9,460,0.0,0.000,否,100%,"(459.2,248.5,565.5)","(459.2,248.5,565.5)","(474.9,248.5,558.8)",17.1/17.1/0.0,16.7,平
73,13:53:53,StekIo,80.7,脱靶,脱靶,GM自研,80-90,5.9,6.1,6.2,440,0.0,0.000,否,100%,"(524.9,248.5,543.9)","(524.9,248.5,543.9)","(57.7,-223.3,-106.0)",929.1/800.4/-471.9,-447.9,平
74,13:54:13,StekIo,45.9,-50,命中,GM自研,40-50,5.4,5.7,5.9,460,70.4,0.651,否,100%,"(466.0,248.5,699.0)","(466.0,248.5,699.0)","(472.1,248.5,691.2)",9.9/9.9/0.0,9.7,平
75,13:54:14,StekIo,47.3,-30,命中,GM自研,40-50,5.4,5.7,5.9,460,434.1,0.109,否,100%,"(478.3,248.5,678.1)","(478.3,248.5,678.1)","(477.5,248.5,680.0)",2.0/2.0/0.0,-2.0,平
76,13:54:17,StekIo,56.8,脱靶,脱靶,GM自研,50-60,5.6,5.8,6.0,455,0.0,0.000,否,100%,"(461.4,248.5,630.9)","(461.4,248.5,630.9)","(57.1,-163.4,-89.3)",922.9/825.9/-411.9,825.1,平
77,13:54:34,StekIo,60.2,脱靶,脱靶,GM自研,60-70,5.8,6.0,6.2,450,0.0,0.000,否,100%,"(481.3,248.5,337.5)","(481.3,248.5,337.5)","(485.2,248.5,338.3)",4.0/4.0/0.0,3.0,平
78,13:54:38,StekIo,86.2,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,401.1,0.215,否,100%,"(521.9,248.5,371.6)","(521.9,248.5,371.6)","(521.7,248.5,371.6)",0.2/0.2/0.0,-0.1,平
79,13:54:39,StekIo,86.7,-30,命中,GM自研,80-90,5.9,6.1,6.2,440,418.6,0.207,否,100%,"(530.1,248.5,385.2)","(530.1,248.5,385.2)","(529.0,248.5,383.5)",2.0/2.0/0.0,-2.0,平
80,13:54:39,StekIo,87.1,-20,命中,GM自研,80-90,5.9,6.1,6.2,440,335.1,0.260,否,100%,"(534.8,248.5,397.5)","(534.8,248.5,397.5)","(534.3,248.5,396.4)",1.2/1.2/0.0,-1.2,平
81,13:54:41,StekIo,99.5,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,399.4,0.249,否,100%,"(522.2,248.5,432.1)","(522.2,248.5,432.1)","(522.0,248.5,432.2)",0.2/0.2/0.0,0.2,平
82,13:54:57,StekIo,88.8,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,355.1,0.250,否,100%,"(483.9,248.5,689.9)","(483.9,248.5,689.9)","(479.1,248.5,690.2)",4.8/4.8/0.0,-4.8,平
83,13:54:59,StekIo,80.3,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,397.4,0.202,否,100%,"(488.4,248.5,677.8)","(488.4,248.5,677.8)","(488.1,248.5,678.2)",0.5/0.5/0.0,-0.5,平
84,13:55:00,StekIo,74.5,-30,命中,GM自研,70-80,5.8,6.1,6.3,445,360.8,0.207,否,100%,"(497.1,248.5,656.6)","(497.1,248.5,656.6)","(496.7,248.5,657.5)",1.0/1.0/0.0,-1.0,平
85,13:55:01,StekIo,66.6,-10,命中,GM自研,60-70,5.8,6.0,6.2,450,475.5,0.140,否,100%,"(505.6,248.5,645.3)","(505.6,248.5,645.3)","(502.7,248.5,645.9)",2.9/2.9/0.0,-2.7,平
86,13:55:02,StekIo,58.6,-20,命中,GM自研,50-60,5.6,5.8,6.0,455,361.7,0.162,否,100%,"(505.6,248.5,629.2)","(505.6,248.5,629.2)","(505.5,248.5,629.7)",0.5/0.5/0.0,-0.5,平
87,13:55:04,StekIo,70.2,脱靶,脱靶,GM自研,70-80,5.8,6.1,6.3,445,0.0,0.000,否,100%,"(500.4,248.5,583.6)","(500.4,248.5,583.6)","(54.9,-217.7,-88.8)",931.6/806.6/-466.2,791.6,平
88,13:55:18,StekIo,85.5,脱靶,脱靶,GM自研,80-90,5.9,6.1,6.2,440,0.0,0.000,否,100%,"(347.0,248.5,429.9)","(347.0,248.5,429.9)","(358.5,248.5,421.2)",14.5/14.5/0.0,14.1,平
89,13:55:19,StekIo,89.3,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,342.5,0.261,否,100%,"(366.3,248.5,416.3)","(366.3,248.5,416.3)","(367.1,248.5,416.1)",0.8/0.8/0.0,0.7,平
90,13:55:19,StekIo,89.7,脱靶,脱靶,GM自研,80-90,5.9,6.1,6.2,440,0.0,0.000,否,100%,"(378.2,248.5,410.9)","(378.2,248.5,410.9)","(381.4,248.5,410.3)",3.3/3.3/0.0,3.2,平
91,13:55:21,StekIo,100.0,-40,命中,GM自研,90-100,5.8,6.0,6.2,435,398.4,0.251,否,100%,"(383.9,248.5,411.1)","(383.9,248.5,411.1)","(384.1,248.5,410.4)",0.7/0.7/-0.0,-0.2,平
92,13:55:21,StekIo,99.7,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,384.6,0.259,否,100%,"(389.4,248.5,409.2)","(389.4,248.5,409.2)","(389.3,248.5,409.2)",0.1/0.1/0.0,-0.1,平
93,13:55:23,StekIo,111.5,-20,命中,GM自研,110-120,5.6,5.6,5.8,425,394.3,0.283,否,100%,"(406.8,248.5,407.3)","(406.8,248.5,407.3)","(406.1,248.5,407.5)",0.7/0.7/0.0,-0.7,平
94,13:55:23,StekIo,111.7,脱靶,脱靶,GM自研,110-120,5.6,5.6,5.8,425,0.0,0.000,否,100%,"(419.7,248.5,407.6)","(419.7,248.5,407.6)","(58.9,-245.8,-107.2)",799.8/628.7/-494.4,-370.8,平
95,13:55:57,StekIo,94.9,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,366.1,0.259,否,100%,"(528.4,248.5,441.7)","(528.4,248.5,441.7)","(528.9,248.5,442.2)",0.6/0.6/0.0,-0.6,平
96,13:55:57,StekIo,95.3,-50,命中,GM自研,90-100,5.8,6.0,6.2,435,379.0,0.251,否,100%,"(516.8,248.5,435.9)","(516.8,248.5,435.9)","(518.1,248.5,436.9)",1.6/1.6/0.0,-1.6,平
97,13:55:59,StekIo,96.0,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(490.5,248.5,429.6)","(490.5,248.5,429.6)","(51.8,-171.7,-94.0)",802.0/683.1/-420.2,525.9,平
98,13:56:35,StekIo,51.3,-40,命中,GM自研,50-60,5.6,5.8,6.0,455,523.2,0.098,否,100%,"(472.9,248.5,556.9)","(472.9,248.5,556.9)","(474.1,248.5,558.2)",1.8/1.8/0.0,-1.8,平
99,13:56:39,StekIo,89.1,-10,命中,GM自研,80-90,5.9,6.1,6.2,440,359.2,0.248,否,100%,"(425.2,248.5,495.4)","(425.2,248.5,495.4)","(425.3,248.5,495.1)",0.3/0.3/0.0,0.2,平
100,13:56:39,StekIo,89.5,脱靶,脱靶,GM自研,80-90,5.9,6.1,6.2,440,0.0,0.000,否,100%,"(422.2,248.5,484.1)","(422.2,248.5,484.1)","(422.9,248.5,485.3)",1.4/1.4/0.0,-1.3,平
101,13:56:41,StekIo,102.2,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(421.7,248.5,476.5)","(421.7,248.5,476.5)","(421.3,248.5,467.6)",8.9/8.9/0.0,8.9,平
102,13:56:42,StekIo,102.4,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,378.0,0.271,否,100%,"(421.3,248.5,461.5)","(421.3,248.5,461.5)","(421.4,248.5,462.1)",0.6/0.6/0.0,-0.6,平
103,13:56:43,StekIo,102.6,-20,命中,GM自研,100-110,5.8,5.8,6.0,430,411.0,0.250,否,100%,"(422.1,248.5,452.8)","(422.1,248.5,452.8)","(422.3,248.5,452.6)",0.2/0.2/0.0,0.2,平
104,13:56:43,StekIo,102.8,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(424.3,248.5,441.0)","(424.3,248.5,441.0)","(54.0,-238.2,-107.0)",821.2/661.4/-486.7,472.2,平
105,13:57:22,StekIo,91.4,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(485.7,248.5,401.1)","(485.7,248.5,401.1)","(471.7,248.5,400.8)",14.0/14.0/0.0,13.9,平
106,13:57:23,StekIo,91.8,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,370.1,0.248,否,100%,"(464.8,248.5,401.1)","(464.8,248.5,401.1)","(465.4,248.5,401.2)",0.5/0.5/0.0,-0.5,平
107,13:57:23,StekIo,92.1,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,337.6,0.273,否,100%,"(453.1,248.5,403.2)","(453.1,248.5,403.2)","(453.5,248.5,403.3)",0.5/0.5/0.0,-0.5,平
108,13:57:24,StekIo,92.5,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(441.6,248.5,406.8)","(441.6,248.5,406.8)","(428.6,248.5,413.3)",14.5/14.5/0.0,14.4,平
109,13:57:26,StekIo,93.3,-20,命中,GM自研,90-100,5.8,6.0,6.2,435,480.2,0.194,否,100%,"(415.3,248.5,422.3)","(415.3,248.5,422.3)","(416.3,248.5,421.8)",1.1/1.1/0.0,-1.1,平
110,13:57:26,StekIo,93.6,-40,命中,GM自研,90-100,5.8,6.0,6.2,435,116.2,0.806,否,100%,"(407.1,248.5,430.2)","(407.1,248.5,430.2)","(400.5,248.5,438.4)",10.5/10.5/0.0,10.4,平
111,13:57:27,StekIo,94.2,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(393.6,248.5,448.8)","(393.6,248.5,448.8)","(54.0,-203.1,-88.1)",779.5/635.4/-451.6,-268.3,平
112,13:57:47,StekIo,96.3,-40,命中,GM自研,90-100,5.8,6.0,6.2,435,373.6,0.258,否,100%,"(535.4,248.5,411.6)","(535.4,248.5,411.6)","(535.3,248.5,411.1)",0.5/0.5/0.0,-0.5,平
